,0
0,Idaho
1,Wisconsin
2,North Carolina
3,Illinois
4,Vermont
5,New Hampshire
6,Georgia
7,Wyoming
8,Maryland
9,Kentucky
10,Iowa
11,Minnesota
12,Kansas
13,North Dakota
14,Utah
15,Michigan
16,Pennsylvania
17,Alaska
18,Rhode Island
19,New Jersey
20,Hawaii
21,Nevada
22,Tennessee
23,South Carolina
24,Maine
25,Missouri
26,Mississippi
27,South Dakota
28,Virginia
29,Connecticut
30,Nebraska
31,Arizona
32,New Mexico
33,Oklahoma
34,Arkansas
35,Texas
36,Massachusetts
37,New York
38,Colorado
39,Louisiana
40,West Virginia
41,Florida
42,Indiana
43,Alabama
44,Montana
45,Delaware
